unix,date,symbol,open,high,low,close,volume
1.67512E+12,31/01/2023 00:00,ETH/USD,1567.48,1604.73,1562.06,1585.74,4873907.674
1.67504E+12,30/01/2023 00:00,ETH/USD,1646.65,1647.79,1534.23,1567.48,7424157.664
1.67495E+12,29/01/2023 00:00,ETH/USD,1573.64,1660.44,1568.07,1646.65,4165141.579
1.67486E+12,28/01/2023 00:00,ETH/USD,1598.95,1606.17,1557.06,1573.64,1965171.891
1.67478E+12,27/01/2023 00:00,ETH/USD,1600.89,1620.82,1554.04,1598.95,5590397.249
1.67469E+12,26/01/2023 00:00,ETH/USD,1611.06,1632.5,1578.19,1600.89,3384679.166
1.6746E+12,25/01/2023 00:00,ETH/USD,1556.49,1640.7,1514.46,1611.06,7253222.4
1.67452E+12,24/01/2023 00:00,ETH/USD,1626.21,1641.76,1527.95,1556.49,8151554.867
1.67443E+12,23/01/2023 00:00,ETH/USD,1627.5,1648.01,1586.34,1626.21,7777667.877
1.67435E+12,22/01/2023 00:00,ETH/USD,1626.37,1664,1604.62,1627.5,3093233.759
1.67426E+12,21/01/2023 00:00,ETH/USD,1658.79,1679.04,1620.22,1626.37,4639580.045
1.67417E+12,20/01/2023 00:00,ETH/USD,1553.19,1666.97,1542.38,1658.79,7586759.753
1.67409E+12,19/01/2023 00:00,ETH/USD,1512.11,1564.19,1511.91,1553.19,6199802.719
1.674E+12,18/01/2023 00:00,ETH/USD,1564.88,1608.95,1500,1512.11,11512937.22
1.67391E+12,17/01/2023 00:00,ETH/USD,1575.8,1608,1540.63,1564.88,5834120.234
1.67383E+12,16/01/2023 00:00,ETH/USD,1552.85,1603.37,1521.32,1575.8,4584183.759
1.67374E+12,15/01/2023 00:00,ETH/USD,1550.9,1567.5,1516.82,1552.85,2757488.63
1.67365E+12,14/01/2023 00:00,ETH/USD,1450.7,1626.15,1450,1550.9,11627621.52
1.67357E+12,13/01/2023 00:00,ETH/USD,1415.26,1464.29,1401.68,1450.7,5955491.756
1.67348E+12,12/01/2023 00:00,ETH/USD,1388.65,1437.93,1368.33,1415.26,15153806.92
1.6734E+12,11/01/2023 00:00,ETH/USD,1335,1397.99,1319.96,1388.65,7396809.758
1.67331E+12,10/01/2023 00:00,ETH/USD,1319.83,1347.17,1302,1335,7843891.453
1.67322E+12,09/01/2023 00:00,ETH/USD,1287.44,1344.75,1285.51,1319.83,6645308.829
1.67314E+12,08/01/2023 00:00,ETH/USD,1263.62,1295.34,1258,1287.44,2365095.61
1.67305E+12,07/01/2023 00:00,ETH/USD,1268.49,1270.57,1257.09,1263.62,3687682.272
1.67296E+12,06/01/2023 00:00,ETH/USD,1250.23,1275.62,1233.55,1268.49,5241637.611
1.67288E+12,05/01/2023 00:00,ETH/USD,1256.15,1259.85,1240.8,1250.23,3482761.289
1.6728E+12,04/01/2023 04:00,ETH/USD,1250.94,1269.48,1243.42,1258.96,9321804.493
1.67279E+12,04/01/2023 00:00,ETH/USD,1213.72,1269.48,1212.48,1256.15,10759539.9
1.67272E+12,03/01/2023 04:00,ETH/USD,1214.78,1253.74,1204.78,1250.94,4016785.849
1.6727E+12,03/01/2023 00:00,ETH/USD,1213.72,1219,1204.78,1213.72,2948437.983
1.67263E+12,02/01/2023 04:00,ETH/USD,1201.11,1222.25,1199.72,1214.78,4126788.078
1.67262E+12,02/01/2023 00:00,ETH/USD,1199.81,1222.25,1192.91,1213.72,3809932.202
1.67255E+12,01/01/2023 04:00,ETH/USD,1192.54,1203.6,1189.67,1201.11,2291290.308
1.67253E+12,01/01/2023 00:00,ETH/USD,1193.21,1203.6,1189.67,1199.81,4207498.493
1.67246E+12,31/12/2022 04:00,ETH/USD,1193.27,1206.6,1190,1192.54,8674374.543
1.67244E+12,31/12/2022 00:00,ETH/USD,1199.15,1206.6,1190,1193.21,7622271.599
1.67237E+12,30/12/2022 04:00,ETH/USD,1197.51,1201.92,1180.82,1193.27,6618070.435
1.67236E+12,30/12/2022 00:00,ETH/USD,1200.5,1201.92,1180.82,1199.15,6201826.66
1.67229E+12,29/12/2022 04:00,ETH/USD,1193.36,1204.98,1189.58,1197.51,25087208.67
1.67227E+12,29/12/2022 00:00,ETH/USD,1189.26,1204.98,1186.8,1200.5,25178130.44
1.6722E+12,28/12/2022 04:00,ETH/USD,1198.12,1206.8,1180.44,1193.36,9004019.608
1.67219E+12,28/12/2022 00:00,ETH/USD,1211.47,1214.26,1180.44,1189.26,8893082.042
1.67211E+12,27/12/2022 04:00,ETH/USD,1223.39,1224.31,1186.8,1198.12,4373691.829
1.6721E+12,27/12/2022 00:00,ETH/USD,1228.11,1232.58,1200.3,1211.47,4365384.227
1.67203E+12,26/12/2022 04:00,ETH/USD,1220.38,1232.58,1211.54,1223.39,1347132.312
1.67201E+12,26/12/2022 00:00,ETH/USD,1219.28,1230.14,1211.54,1228.11,1039654.467
1.67194E+12,25/12/2022 04:00,ETH/USD,1220.84,1223.31,1195.52,1220.38,1036151.272
1.67193E+12,25/12/2022 00:00,ETH/USD,1219.9,1223,1195.52,1219.28,1026742.658
1.67185E+12,24/12/2022 04:00,ETH/USD,1217.99,1226.2,1215.02,1220.84,898622.1276
1.67184E+12,24/12/2022 00:00,ETH/USD,1220.2,1226.2,1215.02,1219.9,1113006.615
1.67177E+12,23/12/2022 04:00,ETH/USD,1223.33,1229.68,1211.96,1217.99,2437818.94
